team,elo
Lebanon,1446.3266333994336
Equatorial Guinea,1444.3683653756952
Faroe Islands,1444.1161124816613
Gotland,1443.8645371560249
Vanuatu,1441.682925809609
Malawi,1438.0970381552752
Liberia,1437.5114416902766
Tajikistan,1437.4242453527943
Western Isles,1436.1454294970404
Cuba,1435.223177770878
Manchukuo,1430.3536937259698
Armenia,1430.2795605448405
Găgăuzia,1429.5979146896605
Niue,1427.197396829282
Ticino,1426.5022396006914
Estonia,1425.74903816671
Fiji,1423.9885488568984
Namibia,1423.9403794235855
French Guiana,1423.3729483904995
Palau,1421.5584221159281
Saint Barthélemy,1419.2959295797023
Lesotho,1418.7349799250512
Vatican City,1418.5167369716755
Tanzania,1417.7478446260573
Two Sicilies,1417.401056706327
Marshall Islands,1417.2750037211717
Western Sahara,1400.2309477190138
Orkney,1397.367660021107
Western Australia,1395.306625765772
Azerbaijan,1393.1035686712562
Ethiopia,1392.7105530730441
Ambazonia,1392.2018383996237
Raetia,1391.2623085540017
Botswana,1387.529804824065
Burundi,1387.2520037012143
Turkmenistan,1386.3286799514315
Cyprus,1372.8772510996153
Solomon Islands,1372.1169303065174
Puerto Rico,1367.615058321442
Central African Republic,1362.2220670590511
Guinea-Bissau,1361.101816697507
Saint Vincent and the Grenadines,1360.5437898205178
Chagos Islands,1359.4887978226386
Barawa,1358.411900456665
Yemen DPR,1354.7716515621532
Malta,1352.323825884079
Saint Helena,1348.6597473202137
Vietnam Republic,1346.9962373422616
Hitra,1343.6297599277038
Bermuda,1341.7948155371153
Saare County,1340.8923445670844
Philippines,1340.7555153973726
Lithuania,1336.0563214811343
Latvia,1333.516300944253
Saint Martin,1331.2738999242288
Congo,1329.602064928616
Sark,1327.727692659706
Micronesia,1327.012853494592
Moldova,1325.5062359499582
Eswatini,1316.8809737819586
Sint Maarten,1314.8602813002117
Hong Kong,1309.8279563059082
Yemen,1307.0875844480802
Belize,1298.62154951606
Wallis Islands and Futuna,1295.9729395970155
Grenada,1295.1840474598384
Singapore,1294.3702613220667
Saint Pierre and Miquelon,1286.1259070308292
Saint Kitts and Nevis,1278.414882146697
Darfur,1274.7957687686571
South Sudan,1272.5631341135443
Tibet,1266.8302428496218
Chad,1246.4614816599421
Samoa,1245.4030576337793
India,1236.5630404517854
Montserrat,1234.5419011871868
Kiribati,1232.671806407752
Saint Lucia,1222.0128886173286
Tuvalu,1219.5922873221296
Aruba,1218.7756812778769
Falkland Islands,1214.853424542294
Mauritius,1208.5869662905923
Eritrea,1197.000991541184
Afghanistan,1195.4063699800238
Frøya,1194.7806172669416
São Tomé and Príncipe,1181.4920097882543
Dominica,1172.5357881552602
Cook Islands,1148.0527479757386
Andorra,1146.0410304734462
Myanmar,1136.4318588541778
Barbados,1134.8159611620467
Bonaire,1132.3992371681525
Gibraltar,1132.0705117299883
Bangladesh,1131.1648926535797
Antigua and Barbuda,1116.6145313944476
Nepal,1102.7788222367712
Pakistan,1093.346641536389
Tonga,1087.744873619027
Cambodia,1078.3235148843828
Djibouti,1077.2765868027673
Alderney,1076.971877521945
Somalia,1060.0927265128405
Taiwan,1057.290746220563
Cayman Islands,1055.7055198596074
British Virgin Islands,1046.8303173796207
Sri Lanka,1012.8223510163959
Seychelles,1010.6154711772954
Maldives,997.9575785940671
Mongolia,995.8234806440315
Turks and Caicos Islands,995.1299797712921
Northern Mariana Islands,982.6105808607821
United States Virgin Islands,982.4797236059422
Guam,980.6938427317202
Liechtenstein,977.8797536323403
Bahamas,964.4568210921542
American Samoa,941.9163134007321
Laos,938.6831660843628
Anguilla,916.5335908365748
San Marino,911.2265415142359
Timor-Leste,910.0720495024353
Brunei,907.3251354213105
Bhutan,862.7550309815226
Macau,848.6046059736051
